frame,sign,kx,ky,sbxframe
12420,-1,-1,7,3331
12435,-1,3,-9,3335
12450,1,-11,-10,3339
12465,1,0,11,3342
12480,1,10,0,3346
12495,1,11,-4,3350
12510,1,-3,6,3354
12525,-1,-2,5,3358
12540,-1,-2,6,3362
12555,1,2,-5,3366
12570,-1,-11,-10,3370
12585,1,-4,7,3373
12600,1,-1,-4,3377
12615,-1,-11,5,3381
12630,1,-2,4,3385
12645,-1,-11,1,3389
12660,1,-2,-9,3393
12675,1,-3,-1,3397
12690,-1,7,-7,3400
12705,1,5,-10,3404
12720,1,-1,10,3408
12735,1,9,-6,3412
12750,1,-6,12,3416
12765,-1,-10,-2,3420
12780,-1,2,-9,3424
12795,1,-3,-12,3428
12810,1,-4,8,3431
12825,1,2,-12,3435
12840,-1,-5,-11,3439
12855,1,-4,-5,3443
12870,-1,-7,-4,3447
12885,-1,4,12,3451
12900,-1,2,4,3455
12915,1,5,-11,3458
12930,1,-5,-8,3462
12945,1,-6,0,3466
12960,-1,-11,5,3470
12975,-1,4,-7,3474
12990,1,-6,-10,3478
13005,-1,9,-7,3482
13020,-1,-10,-5,3486
13035,1,0,12,3489
13050,-1,-8,5,3493
13065,-1,9,5,3497
13080,1,-2,0,3501
13095,-1,6,-12,3505
13110,-1,-2,-3,3509
13125,1,6,12,3513
13140,-1,10,0,3517
13155,1,-9,-10,3520
13170,1,5,3,3524
13185,1,2,-4,3528
13200,1,-8,-11,3532
13215,1,10,4,3536
13230,1,-11,11,3540
13245,1,-9,1,3544
13260,-1,11,9,3547
13275,1,-4,12,3551
13290,-1,-6,-7,3555
13305,-1,11,-10,3559
13320,1,-10,10,3563
13335,1,-8,6,3567
13350,-1,-1,10,3571
13365,-1,-11,-5,3575
13380,1,1,5,3578
13395,1,-12,4,3582
13410,-1,11,2,3586
13425,-1,3,4,3590
13440,-1,-4,7,3594
13455,1,0,12,3598
13470,-1,-3,-5,3602
13485,-1,9,6,3605
13500,1,-12,-10,3609
13515,-1,3,0,3613
13530,1,-6,-5,3617
13545,1,-6,-1,3621
13560,1,-11,0,3625
13575,-1,-1,2,3629
13590,1,11,-5,3633
13605,1,-12,10,3636
13620,1,-5,10,3640
13635,1,4,-3,3644
13650,-1,-10,7,3648
13665,-1,-10,-11,3652
13680,-1,-2,1,3656
13695,-1,5,-4,3660
13710,1,-12,-1,3663
13725,1,11,-10,3667
13740,-1,3,12,3671
13755,1,-1,2,3675
13770,-1,0,1,3679
13785,1,-2,-9,3683
13800,-1,12,-10,3687
13815,1,12,1,3691
13830,1,9,5,3694
13845,1,-12,5,3698
13860,-1,2,-5,3702
13875,-1,-4,-5,3706
13890,1,-9,-12,3710
13905,1,-1,-1,3714
13920,1,10,-6,3718
13935,1,9,5,3721
13950,-1,7,12,3725
13965,1,0,8,3729
13980,1,2,3,3733
13995,-1,7,10,3737
14010,1,-5,10,3741
14025,1,6,12,3745
14040,1,10,11,3749
14055,1,-1,0,3752
14070,1,0,10,3756
14085,-1,-1,-2,3760
14100,-1,6,-12,3764
14115,-1,10,8,3768
14130,1,-5,12,3772
14145,-1,10,-6,3776
14160,-1,9,-4,3780
14175,1,-1,11,3783
14190,-1,10,1,3787
14205,1,7,0,3791
14220,1,3,-10,3795
14235,1,-7,9,3799
14250,-1,9,-1,3803
14265,1,0,-8,3807
14280,-1,6,-2,3810
14295,-1,-9,11,3814
14310,1,-10,-9,3818
14325,1,-11,9,3822
14340,-1,-9,-10,3826
14355,1,-2,-9,3830
14370,-1,-12,1,3834
14385,1,-12,7,3838
14400,1,-10,0,3841
14415,1,1,8,3845
14430,1,-11,12,3849
14445,1,0,-4,3853
14460,-1,-12,1,3857
14475,-1,-10,6,3861
14490,1,-5,3,3865
14505,-1,2,-6,3868
14520,-1,-1,-2,3872
14535,1,-8,-3,3876
14550,1,-7,8,3880
14565,1,4,-5,3884
14580,1,-6,0,3888
14595,-1,7,-3,3892
14610,-1,-6,-9,3896
14625,1,3,-5,3899
14640,-1,3,-2,3903
14655,-1,10,-1,3907
14670,-1,5,-8,3911
14685,-1,0,-12,3915
14700,1,3,3,3919
14715,1,-7,-3,3923
14730,1,-11,3,3926
14745,1,1,8,3930
14760,-1,8,9,3934
14775,1,-3,5,3938
14790,1,-7,-11,3942
14805,1,-10,9,3946
14820,1,2,10,3950
14835,-1,9,8,3954
14850,-1,-11,4,3957
14865,-1,8,3,3961
14880,-1,-10,-1,3965
14895,-1,3,-8,3969
14910,-1,-3,-7,3973
14925,1,1,-6,3977
14940,1,-1,-9,3981
14955,1,4,-10,3984
14970,1,-5,-4,3988
14985,1,-7,7,3992
15000,-1,-7,-10,3996
15015,1,3,-6,4000
15030,1,10,1,4004
15045,-1,-9,4,4008
15060,-1,6,6,4012
15075,-1,8,-9,4015
15090,1,-4,12,4019
15105,-1,-5,-7,4023
15120,1,-7,2,4027
15135,-1,9,-11,4031
15150,-1,9,10,4035
15165,1,-7,9,4039
15180,-1,-1,-11,4043
15195,-1,4,-2,4046
15210,-1,-6,4,4050
15225,-1,5,3,4054
15240,-1,7,-9,4058
15255,-1,12,1,4062
15270,1,-1,12,4066
15285,-1,10,5,4070
15300,-1,-8,1,4073
15315,-1,2,-3,4077
15330,-1,-11,2,4081
15345,-1,10,-4,4085
15360,1,-7,4,4089
15375,1,3,-10,4093
15390,1,-7,4,4097
15405,-1,10,-1,4101
15420,-1,5,0,4104
15435,1,-1,-8,4108
15450,1,-3,-2,4112
15465,1,-12,-9,4116
15480,1,6,-10,4120
15495,1,5,-7,4124
15510,1,11,-9,4128
15525,-1,-1,-2,4131
15540,-1,-12,12,4135
15555,-1,-6,3,4139
15570,1,7,-10,4143
15585,-1,-1,5,4147
15600,1,-2,-11,4151
15615,-1,-2,6,4155
15630,-1,7,3,4159
15645,1,11,5,4162
15660,-1,10,11,4166
15675,-1,3,-5,4170
15690,-1,6,4,4174
15705,-1,9,-11,4178
15720,1,-10,3,4182
15735,1,9,1,4186
15750,1,3,7,4189
15765,-1,-9,-1,4193
15780,-1,10,-5,4197
